edrpou,document,type_of_construction,legal_base,n
05417199,декларація про готовність об'єкта до експлуатації,"Будівництво середньоповерхової та малоповерхової житлової забудови з комплексом об'єктів соціально-побутового призначення (І черга, 3 пусковий комплекс); м.Київ, Голосіївський, вул. Академіка Лебедєва, 1",державний акт ЯЯ 382721 2007-07-16,7
05417199,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво малоповерхової житлової забудови з об'єктами соціально-побутового призначення за адресою: вул. Лебедєва Академіка, 1 у Голосіївському районі м. Києва; м.Київ, вул. Академіка Лебедєва, 1",не зазначено,7
05417199,декларація про готовність об'єкта до експлуатації,"Будівництво середньо поверхової та малоповерхової забудови з об'єктами соціально-побутового призначення; м.Київ, вул. ак. Лебедєва, 1",державний акт ЯЯ 382722 2007-07-16,7
05417199,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво малоповерхової житлової забудови з об'єктами соціально-побутового призначення по вул. Лебедєва, 1 Голосіївського р-н., м. Києва, іститут ботаніки ім. М.Г. Холодного НАН України; м.Київ, вул. Лебедєва, 1",не зазначено,7
01018947,повідомлення про зміну даних в дозволі на будівельні роботи,"Капітальний ремонт переливної греблі Смілянського водосховища на р. Тясмин; Черкаська обл., м. Сміла; вул. Литвинова, мостовий перехід річки Тясмин",не зазначено,7
01018947,дозвіл на будівельні роботи,"Капітальний ремонт переливної греблі Смілянського водосховища на р. Тясмин; Черкаська обл., м. Сміла; вул. Литвинова, мостовий перехід річки Тясмин",не зазначено,7
01018947,декларація про початок будівельних робіт,"Реконструкція нежитлових приміщень під складські приміщення; м.Київ, Голосіївський, вул. Васильківська, 37",не зазначено,7
01018947,декларація про готовність об'єкта до експлуатації,"Будівництво багатоквартирного житлового будинку, І черга, ІІ пусковий комплекс; Київська обл., Києво-Святошинський р‑н, с. Юрівка, вул. Шевченка, 0",державний акт КВ 002274 2000-09-05,7
01018947,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво багатоквартирного житлового будинку та котеджів в с. Юрівка Києво-Святошинського району по вул. Шевченка; Київська обл., Києво-Святошинський р‑н, с. Юрівка, вул. Шевченка,",не зазначено,7
01018947,декларація про початок будівельних робіт,"водонакопичувальний басейн для забезпечення безперебійного живлення мереж краплинного зрошення обємом 24,9 тис.м.куб для ПП ""Аронія""; ІВано-Франківська область, Снятинський район",договір оренди б-н 2009-06-24,7
01018947,зміна даних у декларації про початок будівельних робіт,"Будівництво (влаштування) поливо-зрошувальної системи зелених насаджень на просп. Бажана, І п.к. від ст. м. Харківська до Харківської площі; від ст. м. Харківська до Харківської площі у Дарницькому районі м. Києва",не зазначено,7
01018947,декларація про готовність об'єкта до експлуатації,"Система краплинного зрошення яблуневого саду на площі 11,0 га для ПАт Кам'янський; Бериславський район, Херсонська область",договір оренди 4АА002359-04067 2006-07-25,7
05417182,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво офісного центру; м.Київ, Шевченківський, вул. Гончара, 55б",не зазначено,7
05417182,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво офісного центру за адресою: вул. Гончара, 55-б у Шевченківському районі м. Києва; м.Київ, вул. Гончара, 55-б",не зазначено,7
05417182,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво офісного центру; м.Київ, вул. Гончара, 55б",не зазначено,7
02141221,дозвіл на будівельні роботи,"Протиаварійні роботи та невідкладні консерваційні роботи ""Прибутковий будинок, 1904р.р. по вул. Хмельницького Богдана, 10 у місті Києві, охоронний № 347 (Розпорядження Київської міської міської державної адміністрації від 15.07.1998 № 1463 пам'ятка архітектури та історії"", в частині групи нежитлових приміщень №№61, 63а, 64, 65 та приміщень місць спільного користування (сходи та інш.) XXI, XXIа, ХХVI, XXXIII, XL, XLII, які розташовані на 1,2,3,4 та 5 поверхах п'ятиповерхового будинку; м.Київ, вул. Хмельницького Богдана, 10",договір суперфіцію 1934 2015-08-27,7
02141221,повідомлення про зміну даних в дозволі на будівельні роботи,"Реконструкція адміністративного корпусу інституту ; м.Київ, вул. Артема, 52-д",не зазначено,7
16305291,декларація про початок будівельних робіт,"Капітальний ремонт цокольного поверху будівлі учбового корпусу (посилення несучих елементів, гідроізоляція, пристінний дренаж); м.Київ, Солом'янський, вул. Нововокзальна, 17",державний акт 007417 2002-09-20,8
16305291,декларація про початок будівельних робіт,"Модернізація системи електропостачання ІПК ДСЗ України; м.Київ, Солом'янський район, вул. Нововокзальна, 17",державний акт І-КВ 007417 2002-09-20,8
05417503,повідомлення про початок підготовчих робіт,"Реконструкція та будівництво житлово-офісного комплексу з об'єктами громадського, соціально-побутового, торговельного призначення та надземним паркінгом (І черга); м.Київ, Голосіївський, прсп. Академіка Глушкова, 42",витяг з реєстру прав власності (інформаційна довідка) 55968998 2016-03-25,7
04372342,сертифікат,"Будівництво житлових будинків з вбудовано-прибудованим дитячим дошкільним закладом по вул. Обухівській, 135-А у Святошинському районі м. Києва.; м.Київ, Святошинський, вул. Обухівська, 135-А",державний акт 05-9-00051 2008-04-16,7
04372342,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво житлових будинків з вбудовано-прибудованими нежитловими приміщеннями та об'єктами соціально-побутового призначення на вул. Обухівській, 135-а у Святошинському районі м. Києва; м.Київ, вул. Обухівська, 135-а",не зазначено,7
04372342,сертифікат,"будівництво житлових будинків з вбудовано-прибудованим дитячим дошкільним закладом по вул. Обухівській, 135-А у Святошинському районі м. Києва. Житловий будинок №2 (1 пусковий комплекс, V черга будівництва); м.Київ, Святошинський, вул. Обухівська, 135-А",державний акт 05-9-00051 2008-04-16,7
04372342,сертифікат,"Будівництво житлових будинків з вбудовано-прибудованим дитячим дошкільним закладом по вул. Обухівській, 135-А у Святошинському районі м. Києва. Житловий будинок №1 (2 пусковий комплекс, V черга будівництва); м.Київ, Святошинський, вул. Обухівська, 135-А",державний акт 05-9-00051 2008-04-16,7
04372342,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво житлових будинків з вбудовано-прибудованими нежитловими приміщеннями та об'єктами соціально-побутового призначення; м.Київ, вул. Обухівська, 135-а",не зазначено,7
04372342,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво житлових будинків з вбудовано-прибудованими нежитловими приміщеннями та об'єктами соціально-побутового призначення; м.Київ, вул. Обухівська, 135-а",не зазначено,7
04372342,повідомлення про зміну даних в дозволі на будівельні роботи,"Житлове будівництво малої та середньої поверховості; м.Київ, вул. Обухівська, 135",не зазначено,7
04372342,сертифікат,"будівництво житлових будинків з вбудовано-прибудованими нежитловими приміщеннями та об'єктами соціально-побутового призначення. І черга будівництва – житловий будинок з вбудованими приміщеннями № 2; м.Київ, вул. Обухівська, 135-А",не зазначено,7
04372342,сертифікат,"будівництво житлових будинків з вбудовано-прибудованими нежитловими приміщеннями та об'єктами соціально-побутового призначення. І черга будівництва – житловий будинок з вбудованими приміщеннями № 1 та трансформаторна підстанція; м.Київ, вул. Обухівська, 1",не зазначено,7
04372342,сертифікат,"будівництво житлових будинків з вбудовано-прибудованими нежитловими приміщеннями та об'єктами соціально-побутового призначення. І черга будівництва – житловий будинок № 3; м.Київ, вул. Обухівська, 135-А",не зазначено,7
04372342,повідомлення про зміну даних в дозволі на будівельні роботи,"будівництво житлових будинків з вбудовано-прибудованими нежитловими приміщеннями та об'єктами соціально-побутового призначення; м.Київ, вул. Обухівська, 135а",не зазначено,7
04372342,повідомлення про зміну даних в дозволі на будівельні роботи,"будівництво житлових будинків з вбудовано-прибудованими нежитловими приміщеннями та об'єктами соціально-побутового призначення; м.Київ, вул. Обухівська, 135",не зазначено,7
04372342,повідомлення про зміну даних в дозволі на будівельні роботи,"будівництво житлових будинків з вбудовано-прибудованими нежитловими приміщеннями та об'єктами соціально-побутового призначення; вул.Обухівська, 135-а у Святошинському районі м.Києва",не зазначено,7
01566117,дозвіл на будівельні роботи,"Капітальний ремонт фасаду навчального корпусу «Л» за адресою: вул. Кіото, 23 в м. Києві»; м.Київ, вул. Кіото, 23",державний акт І-КВ 005184 2004-03-29,7
01566117,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво гуртожитку на 550 місць із вбудовано-прибудованими приміщеннями об'єктів соціальної сфери на вул. Маеюка, 2-Б у Деснянському районі м. Києва; м.Київ, Деснянський, вул. Матеюка, 2 б",не зазначено,7
01566117,декларація про початок будівельних робіт,"Заміна вікон на металопластикові у гуртожитку (об'єкт капітального ремонту) ; м.Київ, Дніпровський, вул. Лобачевського, 23",не зазначено,7
01566117,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт покрівлі корпусу ""А"" Київського національного торговельно-економічного університету; м.Київ, Деснянський, вул. Кіото, 19",не зазначено,7
01566117,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт місць загального користування та душових (водопровід, каналізація) блок №4 в гуртожитку №4; м.Київ, Деснянський, вул. Матеюка, 2-а",не зазначено,7
01566117,декларація про готовність об'єкта до експлуатації,"Централізована система кондиціонування повітря на базі обладнання зі змінним потоком холодоагенту навчально-лабораторного корпусу Київського національного торговельно-економічного університету по вул. Кіото, 19 у м. Києві (об'єкт капітального ремонту); м.Київ, Деснянський, вул. Кіото, 19",не зазначено,7
01566117,зміна даних у декларації про початок будівельних робіт,"Централізована система кондиціонування повітря на базі обладнання зі змінним потоком холодоагенту навчально-лабораторного корпусу Київського національного торговельно-економічного університету по вул. Кіото, 19 у м. Києві (об'єкт капітального ремонту); м.Київ, Деснянський, вул. Кіото, 19",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт місць загального користування та душових (водопровід, каналізація) блок №4 в гуртожитку №4; м.Київ, Деснянський, вул. Матеюка, 2-а",не зазначено,7
01566117,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво гуртожитку на 550 місць із вбудовано-прибудованими приміщеннями об'єктів соціальної сфери на вул. Матеюка, 2-б у Деснянському районі м. Києва; м.Київ, Деснянський, вул. Матеюка, 2 б",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт покрівлі корпусу ""А"" Київського національного торговельно-економічного університету; м.Київ, Деснянський, вул. Кіото, 19",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт фасаду (корпус Б) Київського національного торговельно-економічного університету; м.Київ, Деснянський, вул. Кіото, 19",не зазначено,7
01566117,декларація про готовність об'єкта до експлуатації,"капітальний ремонт фасаду навчально-лабораторного корпусу (корпус ""А"" з перехідними галереями) КНТЕУ; м.Київ, Деснянський, вул. Кіото, 19",державний акт 08-9-00008 2005-07-28,7
01566117,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт фасаду (корпус ""Е"") КНТЕУ; м.Київ, Деснянський, вул. Мілютенка, 4",державний акт 08-9-00008 2005-07-28,7
01566117,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт фасаду актової зали (корпус ""В"" з перехідною галереєю) КНТЕУ; м.Київ, Деснянський, вул. Кіото, 19",державний акт ЯЯ 080740 2005-07-28,7
01566117,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт внутрішньої системи опалення гуртожитку №4 (блок№1); м.Київ, Деснянський, вул. Матеюка, 2а",не зазначено,7
01566117,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт системи опалення навчально-торговельного центру ""Радунь""; м.Київ, Деснянський, вул. Радунська, 20",не зазначено,7
01566117,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт спортивної зали №1 Київського національного торговельно-економічного університету за адресою; м.Київ, Деснянський, вул. Матеюка, 2-в",не зазначено,7
01566117,декларація про готовність об'єкта до експлуатації,"капітальний ремонт приміщень (корпус ""Г"") Київського національного торговельно-економічного університету; м.Київ, Деснянський, вул. Мілютенка, 8",не зазначено,7
01566117,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт системи вентиляції душових 2-9 поверхів в гуртожитку №4; м.Київ, Деснянський, вул. Матеюка, 2а",не зазначено,7
01566117,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт майданчиків для ігрових видів спорту (великий теніс, баскетбол, настільний теніс, бадмінтон); м.Київ, Деснянський, вул. Кіото, 19",не зазначено,7
01566117,декларація про початок будівельних робіт,"капітальний ремонт приміщень (корпус ""Г"") Київського національного торговельно-економічного університету ; м.Київ, Деснянський, вул. Мілютенка, 8",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт внутрішньої системи опалення гуртожитку №4 (блок№1); м.Київ, Деснянський, вул. Матеюка, 2а",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт системи вентиляції душових 2-9 поверхів в гуртожитку №4; м.Київ, Деснянський, вул. Матеюка, 2а",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт системи опалення навчально-торговельного центру ""Радунь""; м.Київ, Деснянський, вул. Радунська, 20",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт майданчиків для ігрових видів спорту (великий теніс, баскетбол, настільний теніс, бадмінтон); м.Київ, Деснянський, вул. Кіото, 19",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт місць загального користування гуртожитку №2 ; м.Київ, Деснянський, вул. Мілютенка, 6",державний акт 08-9-00008 2005-07-28,7
01566117,повідомлення про зміну даних в дозволі на будівельні роботи,"Будівництво гуртожитку на 550 місць із вбудовано-прибудованими приміщеннями об'єктів соціальної сфери на вул. Матеюка, 2-б у Деснянському районі м. Києва; м.Київ, вул. Матеюка, 2-б",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт фасаду (корпус ""Е"") КНТЕУ; м.Київ, Деснянський, вул. Мілютенка, 4",державний акт 08-9-00008 2005-07-28,7
01566117,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт покрівлі (корпус ""В"") по вул. Кіото, 19 у Деснянському районі; м.Київ, Деснянський, вул. Кіото, 19",державний акт ЯЯ 080740 2005-07-28,7
01566117,декларація про початок будівельних робіт,"Централізована система кондиціонування повітря на базі обладнання зі змінним потоком холодоагенту навчально-лабораторного корпусу Київського національного торговельно-економічного університету по вул. Кіото, 19 у м. Києві (об'єкт капітального ремонту); м.",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт спортивної зали №1 Київського національного торговельно-економічного університету за адресою: м. Київ, вул. Матеюка, 2-В; м.Київ, Деснянський, вул. Матеюка, 2В",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт фасаду актової зали (корпус ""В"" з перехідною галереєю) КНТЕУ ; м.Київ, Деснянський, вул. Кіото, 19",державний акт ЯЯ 080740 2005-07-28,7
01566117,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт покрівлі (корпус ""Б"") ; м.Київ, Деснянський, вул. Кіото, 19",державний акт ЯЯ 080740 2005-07-28,7
01566117,декларація про початок будівельних робіт,"капітальний ремонт фасаду навчально-лабораторного корпусу (корпус ""А"" з перехідними галереями) КНТЕУ; м.Київ, Деснянський, вул. Кіото, 19",державний акт 08-9-00008 2005-07-28,7
01566117,декларація про готовність об'єкта до експлуатації,"Капітальний ремонт артезіанської свердловини №11-224 бази відпочинку ""Хорли""; Херсонська обл., Каланчацький район, с. Хорли",не зазначено,7
01566117,декларація про готовність об'єкта до експлуатації,"реконструкція навчально-лабораторного корпусу та благоустрій території; м.Київ, Деснянський, вул. Кіото, 19",державний акт ЯЯ 080740 2005-07-28,7
01566117,декларація про початок будівельних робіт,"капітальний ремонт покрівлі (гуртожиток №4); м.Київ, Деснянський, вул. Матеюка, 2-а",державний акт 08-9-00008 2005-07-28,7
01566117,декларація про початок будівельних робіт,"капітальний ремонт покрівлі будівлі; м.Київ, Деснянський, вул. Радунська, 20",державний акт 62-4-00016 1999-01-18,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт покрівлі (корпус ""В"") по вул. Кіото, 19 у Деснянському районі; категорія складності - ІІІ",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт артезіанської свердловини № 11-224 бази відпочинку ""Хорли""; Херсонська обл., Каланчацький район, с. Хорли",не зазначено,7
01566117,декларація про початок будівельних робіт,"Капітальний ремонт покрівлі (корпус ""Б"") по вул. Кіото, 19 у Деснянському районі; категорія складності - ІІІ",не зазначено,7
02070909,декларація про готовність об'єкта до експлуатації,"Реконструкція будівлі учбово-лабораторного корпусу (літ. А) з прибудовою Державного університету телекомунікацій; м.Київ, Солом'янський, вул. Солом’янська, 7",державний акт 06-9-00042 2017-03-30,7
02070909,повідомлення про початок будівельних робіт,"Реконструкція будівлі учбово-лабораторного корпусу (літ. А) з прибудовою Державного університету телекомунікацій; м.Київ, Солом'янський, вул. Солом’янська, 7",державний акт 06-9-00042 2017-03-30,7
02070909,сертифікат,"Будівництво житлового будинку з вбудовано-прибудованими приміщеннями та підземним паркінгом. II черга - Спортивно-оздоровчий комплекс; м.Київ, Солом'янський, вул. Волинська, 9-11",державний акт 72-4-00036 2001-09-27,7
02070909,сертифікат,"Капітальний ремонт будівлі (підсилення несучих металевих конструкцій) операторної АЗК вздовж а/д Київ-Чоп км. 127+041 – км 127+129 (праворуч), на території Глобочицької сільської ради Житомирського району Житомирської області; Житомирська обл., Житомирський р-н, с. Глибочиця, вул. територія Глобочицької сільської ради за межами населених пунктів а/д Київ-Чоп км. 127+085 (праворуч), 00",не зазначено,7
02070909,сертифікат,"Капітальний ремонт будівлі (підсилення несучих металевих конструкцій) операторної АЗК вздовж а/д Київ-Чоп км. 126+102 – км 126+297 (ліворуч), на території Глобочицької сільської ради Житомирського району Житомирської області; Житомирська обл., Житомирський р-н, с. Глибочиця, інше територія Глобочицької сільської ради за межами населених пунктів а/д Київ-Чоп км 126+199 (ліворуч), 00",державний акт ЯМ 093843 2011-12-28,7
02070909,дозвіл на будівельні роботи,"Підсилення (капітальний ремонт) фундаментів адміністративного будинку Національного банку України по вул. Інститутській, 9 в Печерському районі м. Києва; м.Київ, вул. Інституцька, 9",не зазначено,7
02070909,дозвіл на будівельні роботи,"Капітальний ремонт будівлі (підсилення несучих металевих конструкцій) операторної АЗК вздовж а/д Київ-Чоп км. 127+041 – км 127+129 (праворуч), на території Глобочицької сільської ради Житомирського району Житомирської області; Житомирська обл., Житомирський р-н, с. Глибочиця, вул. територія Глобочицької сільської ради за межами населених пунктів а/д Київ-Чоп км. 127+085 (праворуч), 0",не зазначено,7
02070909,дозвіл на будівельні роботи,"Капітальний ремонт будівлі (підсилення несучих металевих конструкцій) операторної АЗК вздовж а/д Київ-Чоп км. 126+102 – км 126+297 (ліворуч), на території Глобочицької сільської ради Житомирського району Житомирської області; Житомирська обл., Житомирський р-н, с. Глибочиця, інше територія Глобочицької сільської ради за межами населених пунктів а/д Київ-Чоп км 126+199 (ліворуч),",не зазначено,7
02070909,сертифікат,"Будівництво житлового будинку з вбудовано-прибудованими приміщеннями і підземним паркінгом (ІІІ черга будівництва – підземний паркінг на 98 машиномісць); м.Київ, Солом'янський, вул. Освіти, 3-а",не зазначено,7
02070909,сертифікат,"Житловий будинок з вбудовано-прибудованими приміщеннями і підземним паркінгом за адресою: вул. Освіти, 3-А у Солом'янському районі м. Києва (друга черга - вбудовані приміщення громадського призначення); м.Київ, Солом'янський, вул. Освіти, 3-А",державний акт 72-4-00039 2001-09-27,7
02070909,дозвіл на будівельні роботи,"капітальний ремонт актової зали КНУБіА; м.Київ, прсп. Повітрофлотський, 31",державний акт 72-4-00039 2001-09-27,7
