"","university_name","university_id","university_parent_id","university_short_name","university_name_en","registration_year","university_edrpou","university_type_name","education_type_name","university_financing_type_name","university_governance_type_name","post_index","koatuu_id","region_name","koatuu_name","university_address","post_index_u","koatuu_id_u","region_name_u","koatuu_name_u","university_address_u","university_phone","university_email","university_site","university_director_post","university_director_fio"
"18","Державна навчально-наукова установа ""Академія фінансового управління""","3001",NA,"ДННУ ""Академія фінансового управління""","","2007","35531764","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Міністерство фінансів України","01034","8039100000","КИЇВ","Київ","вул. Олеся Гончара, 46/48","01034","8039100000","КИЇВ","Київ","вул. Олеся Гончара, 46/48","(044) 2775115; 2775110","afu@afu.kiev.ua","http://ndfi.minfin.gov.ua","Президент","Єфименко Тетяна Іванівна"
"19","Державна наукова установа ""Київський академічний університет""","4001",NA,"Київський академічний університет","State research institution ""Kyiv academic university""","1997","19477816","Наукові інститути (установи)","Науковий центр","Державна","Національна академія наук України","03142","8038600000","КИЇВ","Київ","бульв. Академіка Вернадського, 36","03142","8038600000","КИЇВ","Київ","бульв. Академіка Вернадського, 36","+044(42)-430-25","","","Директор","Кордюк Олександр Анатолійович"
"20","Державна наукова установа ""Науково-практичний центр профілактичної та клінічної медицини"" Державного управління справами","3718",NA,".","State Institution of Science ""Research and Practical Center of Preventive and Clinical Medicine"" State Administrative Department","2009","05415786","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Державне управління справами","01014","8038200000","КИЇВ","Київ","вул. Верхня, 5","01014","8038200000","КИЇВ","Київ","вул. Верхня, 5","044 2848453, 2846536, 2864700","pruemnaya.durektora@ukr.net","","Директор","Дячук Дмитро Дмитрович"
"21","Державна наукова установа ""Центр інноваційних медичних технологій НАН України""","4211",NA,"ДНУ ""ЦІМТ НАН України""","","2002","05417590","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","04053","8039100000","КИЇВ","Київ","вул. Вознесенський узвіз, 22","04053","8039100000","КИЇВ","Київ","вул. Вознесенський узвіз, 22","+044(27)-234-03","cimtnanu@ukr.net","","Директор","Тодуров Іван Михайлович"
"22","Державна установа ""Інститут всесвітньої історії Національної академії наук України""","3594",NA,"ДУ ""Інститут всесвітньої історії НАН України""","The State Institution ""The Institute of World History of the National Academy of Sciences of Ukraine""","2012","21570552","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01030","8039100000","КИЇВ","Київ","вул. Леонтовича , 5","01030","8039100000","КИЇВ","Київ","вул. Леонтовича , 5","(044) 2354499","office.ivinanu@nas.gov.ua","www.ivinas.gov.ua","Директор","Кудряченко Андрій Іванович"
"23","Державна установа ""Інститут геохімії навколишнього середовища Національної академії наук України""","4046",NA,"ДУ ""ІГНС НАН УКРАЇНИ""","",NA,"23521345","Заклад вищої освіти","Інститут","Державна","Національна академія наук України","03142","8000000000","КИЇВ","Київ","просп. Палладіна, 34-а","03142","8000000000","КИЇВ","Київ","просп. Палладіна, 34-а","+380(44)-502-12-29","igns@nas.gov.ua","","Директор","Лисиченко Георгій Віталійович"
"24","Державна установа ""Інститут громадського здоров'я ім. О. М. Марзєєва Національної академії медичних наук України»","3917",NA,"ДУ ""ІГЗ НАМНУ""","State Institution «O.M. MarzeIev Institute for Public Health of the National Academy of Medical Science of Ukraine»","2000","02011858","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія медичних наук України","02660","8036400000","КИЇВ","Київ","вул. Попудренка, 50","02660","8036400000","КИЇВ","Київ","вул. Попудренка, 50","559-73-73","usch@usch.kiev.ua","","Директор","Сердюк Андрій Михайлович"
"25","Державна установа ""Інститут економіки природокористування та сталого розвитку Національної академії наук України""","3547",NA,"ДУ ІЕПСР НАН України","","2000","37404013","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01032","8039100000","КИЇВ","Київ","бульв. Тараса Шевченка, 60","01032","8039100000","КИЇВ","Київ","бульв. Тараса Шевченка, 60","(044) 4869127, 2387164","","ekos.kiev.ua","Директор","Хвесик Михайло Артемович"
"26","Державна установа ""Інститут економіки та прогнозування Національної академії наук України""","370",NA,"ДУ ""ІЕПр НАН України""","State organization “Institute of the economy and forecasting of the National academy of sciences, of Ukraine”","1997","25199155","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","01011","8000000000","КИЇВ","Київ","вул. Панаса Мирного, 26","01011","8000000000","КИЇВ","Київ","вул. Панаса Мирного, 26","(044)280-12-34,(044)280-83-44,(044)2801234","gvm@ief.org.ua;  magistratura@ief.org.ua","www.ief.org.ua","директор","Геєць Валерій Михайлович"
"27","Державна Установа ""Інститут ендокринології та обміну речовин ім. В. П. Комісаренка Національної академії медичних наук України ""","3947",NA,"""ІЕОР НАМН""","","2000","02012013","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія медичних наук України","04114","8038500000","КИЇВ","Київ","вул. Вишгородська, 69","04114","8038500000","КИЇВ","Київ","вул. Вишгородська, 69","430-36-94","","","директор","Тронько Микола Дмитрович"
"28","Державна установа ""Інститут нейрохірургії ім.акад. А.П. Ромоданова Національної академії медичних наук України""","3549",NA,"ДУ ""ІНХ НАМН""","The State Institution ""Romodanov Neurosurgery Institute, National Academy of Medical Sciences of Ukraine""","1950","02011930","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія медичних наук України","04050","8039100000","КИЇВ","Київ","вул. Платона Майбороди, 32","04050","8039100000","КИЇВ","Київ","вул. Платона Майбороди, 32","(044) 4839573, 4833682","neuro@amnu.gov.ua","","Директор","Педаченко Євгеній Георгійович"
"29","Державна установа ""Інститут нефрології Національної академії медичних наук України""","1452",NA,"ДУ ІН НАМН","","2001","26168139","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія медичних наук України","04050","8000000000","КИЇВ","Київ","вул. Дегтярівська, 17-в","04075","8038000000","КИЇВ","Київ","вул. Лісна, 30","(044)2259387, 2259377","director@inephrology.kiev.ua","","Директор","Колесник Микола Олексійович"
"30","Державна установа ""Інститут отоларингології ім. проф. О.С.Коломійченка Національної академії медичних наук України""","4233",NA,"ДУ ""Ін-т Отоларингології НАМН""","State institution ""O.S. Kolomiychenko institute of otolaryngology of national academy of medical sciences of Ukraine""","1960","02011870","Заклад вищої освіти","Інститут","Державна","Національна академія медичних наук України","03680","8000000000","КИЇВ","Київ","вул. Зоологічна, 3","03680","8000000000","КИЇВ","Київ","вул. Зоологічна, 3","+044(48)-322-02","amtc@kndio.kiev.ua","","Директор","Заболотний Дмитро Ілліч"
"31","Державна установа ""Інститут педіатрії, акушерства і гінекології Національної академії медичних наук України""","3861",NA,"ДУ ""ІПАГ НАМН""","","1929","02012022","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія медичних наук України","04050","8039100000","КИЇВ","Київ","вул. Платона Майбороди, 8","04050","8039100000","КИЇВ","Київ","вул. Платона Майбороди, 8","(044) 4838067, 4838048, 4838026","ipag@ukr.net","","Директор","Антипкін Юрій Геннадійович"
"32","Державна установа ""Інститут харчової біотехнології та геноміки Національної академії наук України""","3618",NA,"ДУ ""ІХБГ НАН України""","Institute of Food Biotechnology and Genomics of the National Academy of Sciences of Ukraine","1992","02128514","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія наук України","04123","8038500000","КИЇВ","Київ","вул. Осиповського, 2-А","04123","8038500000","КИЇВ","Київ","вул. Осиповського, 2-А","(044)4343777, 4344584, 4343188","office.ifbg@nas,gov.ua","ifbg.org.ua","директор","Блюм Ярослав Борисович"
"33","Державна установа ""Науковий центр аерокосмічних досліджень Землі Інституту геологічних наук Національної академії наук України""","3735",NA,"ЦАКДЗ ІГН НАН України","State Institution ""Scietific Centre for Aerospace Research of the Eath of the Institute of Geological Sciences of the National Academy of Sciences of Ukraine""","1992","04778363","Наукові інститути (установи)","Науковий центр","Державна","Національна академія наук України","01054","8039100000","КИЇВ","Київ","вул. О.Гончара, 55-Б","01054","8039100000","КИЇВ","Київ","вул. О.Гончара, 55-Б","+380(44)-482-01-66","casre@casre.kiev.ua","","Директор","Попов Михайло Олексійович"
"34","Державна установа ""Науково-дослідний інститут психіатрії Міністерства охорони здоров`я України""","3731",NA,"ДУ ""НДІП МОЗ України""","RESEARCH INSTITUTE OF PSYCHIATRY MINISTRY OF HTALTH OF BUKRAINE","2000","04803492","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Міністерство охорони здоров`я України","04080","8038500000","КИЇВ","Київ","вул. Фрунзе, 103","04080","8038500000","КИЇВ","Київ","вул. Фрунзе, 103","(044) 4683215","undisspn@ukr.net","www.undisspn.org.ua","В.о. директора","Табачніков Станіслав Ісаакович"
"35","Державна установа ""Науково-практичний медичний центр дитячої кардіології та кардіохірургії Міністерства охорони здоров`я України""","4122",NA,"ДУ ""Центр дитячої кардіології та кардіохірургії МОЗ України""","",NA,"26385055","Наукові інститути (установи)","Інша наукова установа (організація)","","Міністерство охорони здоров`я України","04050","8000000000","КИЇВ","Київ","вул. Мельникова, 24","04050","8000000000","КИЇВ","Київ","вул. Мельника, 24","+380(44)-206-50-10","info@cardio.org.ua","www.cardio.org.ua","Керівник","Ємець Ілля Миколайович"
"36","Державна установа ""Національний науковий центр радіаційної медицини Національної академії медичних наук України","3932",NA,"ННЦРМ","State Institution ""National Research Center for Radiation Medicine of the National Academy of Medical Sciences of Ukraine""","1986","04837835","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія медичних наук України","04050","8039100000","КИЇВ","Київ","вул. Мельникова, 53","04050","8039100000","КИЇВ","Київ","вул. Мельникова, 53","044 483 06 37","nncrm_doc@i.ua","http://nrcrm.gov.ua","Генеральний директор","Базика Димитрій Анатолійович"
"37","Державний вищий навчальний заклад ""Київський електромеханічний коледж""","546",NA,"ДВНЗ ""Київський електромеханічний коледж""","State Higher Educational Establishment ""Kyiv Electromechanical College""","1876","01118330","Заклад вищої освіти","Коледж","Державна","Міністерство освіти і науки України","03037","8038900000","КИЇВ","Київ","просп. Повітрофлотський, 35","03037","8038900000","КИЇВ","Київ","просп. Повітрофлотський, 35","+38(044)249-85-94","kemt_teh@ukr.net","kemk.kiev.ua","Директор","Сподинська Лариса Леонідівна"
"38","Державний вищий навчальний заклад ""Київський енергетичний коледж""","453",NA,"КЕК","Higher state educational establishment ""Kyiv Energy College""","1956","04627049","Заклад вищої освіти","Коледж","Державна","Міністерство освіти і науки України","02105","8036600000","КИЇВ","Київ","вул. Івана Сергієнка, 7","02105","8036600000","КИЇВ","Київ","вул. Івана Сергієнка, 7","(044) 558 17 72, ф. 559 38 81","contact@kek.kiev.ua","www.kek.edu.ua","директор","Левченко Михайло Іванович"
"39","Державний вищий навчальний заклад ""Київський коледж будівництва, архітектури та дизайну""","547",NA,"ДВНЗ ""ККБАД""","Kyiv College of construction, architecture and design","1946","01275940","Заклад вищої освіти","Коледж","Державна","Міністерство освіти і науки України","03049","8038900000","КИЇВ","Київ","вул. Стадіонна, 2/10","03049","8038900000","КИЇВ","Київ","вул. Стадіонна, 2/10","+38(044)245-35-97,2453797,2453598","stroi@ukr.net","www.kkbad.com.ua","Директор коледжу","Булгаков Валерій Андрійович"
"40","Державний вищий навчальний заклад ""Київський коледж легкої промисловості""","463",NA,"ДВНЗ «ККЛП»","STATE HIGHER EDUCATIONAL ESTABLISHMENT ""KYIV COLLEGE OF LIGHT INDUSTRY""","1930","00301931","Заклад вищої освіти","Коледж","Державна","Міністерство освіти і науки України","01042","8038200000","КИЇВ","Київ","вул. Івана Кудрі, 29","01042","8038200000","КИЇВ","Київ","вул. Івана Кудрі, 29","(044) 529 14 33, 529 14 23","kdtlp@ukr.net","www.kklp.kiev.ua","Директор","Щуцька Ганна Володимирівна"
"41","Державний вищий навчальний заклад ""Київський механіко-технологічний коледж""","455",NA,"КМТК","State Higher Educational Institution ""Kyiv Mechanical Technology College""","1968","00193602","Заклад вищої освіти","Коледж","Державна","Міністерство освіти і науки України","02090","8036600000","КИЇВ","Київ","вул. Харківське шосе, 15","02090","8036600000","КИЇВ","Київ","вул. Харківське шосе, 15","(044) 5815182; 5593700; 5593645","kmtk_admin@ukr.net","kmtk.org.ua","Директор","Шкарлат Ігор Володимирович"
"42","Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","337",NA,"ДВНЗ ""КНЕУ ім. В. Гетьмана""","State Higher Educational Establishment ""Kyiv National Economic University named after Vadym Hetman""","1906","02070884","Заклад вищої освіти","Університет","Державна","Міністерство освіти і науки України","03057","8039100000","КИЇВ","Київ","просп. Перемоги, 54/1","03057","8039100000","КИЇВ","Київ","просп. Перемоги, 54/1","(044) 4565055, 2262573","documts@kneu.edu.ua","www.kneu.edu.ua","Ректор","Лук`яненко Дмитро Григорович"
"43","Державний вищий навчальний заклад ""Київський транспортно-економічний коледж"" Національного транспортного університету","956","24","ДВНЗ ""КТЕК"" НТУ","STATE HIGHER EDUCATIONAL ІNSTITUTION «KYIV TRANSPORT and ECONOMICS COLLEGE» NATIONAL TRANSPORT UNIVERSITY","2012","38488246","Заклад вищої освіти","Коледж","Державна","Міністерство освіти і науки України","03040","8036100000","КИЇВ","Київ","вул. Васильківська, 20","03040","8036100000","КИЇВ","Київ","вул. Васильківська, 20","(044) 257 23 38, (044) 257 23 95","ktek@ktek.kiev.ua","www.ktek.kiev.ua","директор","Шульга Наталія Дмитрівна"
"44","Державний вищий навчальний заклад ""Університет банківської справи""","1141",NA,"ДВНЗ ""Університет банківської справи""","Banking University","2006","34716922","Заклад вищої освіти","Університет","Державна","Міністерство освіти і науки України","04070","8038500000","КИЇВ","Київ","вул. Андріївська, 1","04070","8038500000","КИЇВ","Київ","вул. Андріївська, 1","(044)230-16-03, 489-41-77; 462-53-05","ubs@ubs.edu.ua","www.ubs.edu.ua","Ректор","Кузнєцова Анжела Ярославівна"
"45","Державний заклад вищої освіти ""Університет менеджменту освіти""","1395",NA,"ДЗВО ""УМО""","University of Educationaly Management","2007","35830447","Заклад вищої освіти","Університет","Державна","Національна академія педагогічних наук України","04053","8039100000","КИЇВ","Київ","вул. Січових Стрільців, 52-А","04053","8039100000","КИЇВ","Київ","вул. Січових Стрільців, 52-А","(044) 484 10 96, 481 38 00","rector@umo.edu.ua","www.umo.edu.ua","Ректор","Кириченко Микола Олексійович"
"46","Державний заклад ""Державна екологічна академія післядипломної освіти та управління""","2876",NA,"ДЗ ""ДЕА""","STATE ORGANIZATION “STATE ECOLOGICAL ACADEMY OF POST-GRADUATE EDUCATION AND MANAGEMENT”","1992","19491035","Заклад вищої освіти","Академія","Державна","Міністерство екології та природних ресурсів України","03035","8038900000","КИЇВ","Київ","вул. Митрополита Василя Липківського, 35","03035","8038900000","КИЇВ","Київ","вул. Митрополита Василя Липківського, 35","(044) 2063132; 2063187","www.dei2005@ukr.net","dea.gov.ua","Ректор","Бондар Олександр Іванович"
"47","Державний навчально-науковий заклад післядипломної освіти ""Дипломатична академія України імені Геннадія Удовенка при Міністерстві закордонних справ України""","1015",NA,"Дипломатична академія України","State training and research institution of postgraduate education ""Hennadiy Udovenko Diplomatic Academy of Ukraine at the Ministry of Foreign Affairs""","1995","20062173","Заклад вищої освіти","Академія","Державна","Міністерство закордонних справ України","01025","8039100000","КИЇВ","Київ","вул. Велика Житомирська, 2","01025","8039100000","КИЇВ","Київ","вул. Велика Житомирська, 2","(044) 2381545; 2794705","rector@da.mfa.gov.ua","www.dipacadem.kiev.ua","Директор","Корсунський Сергій Володимирович"
"48","Державний науково-дослідний інститут інформатизації та моделювання економіки","3721",NA,"ДНДІІМЕ","State Scientific Research Institute for Informatization and Economic Modeling","2000","23395900","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Міністерство економічного розвитку і торгівлі України","01014","8038200000","КИЇВ","Київ","бульв. Дружби народів, 38","01014","8038200000","КИЇВ","Київ","бульв. Дружби народів, 38","044 495 56 06","info@dndiime.org.ua","","Директор","Неботов Петро Григорович"
"49","Державний університет інфраструктури та технологій","3969",NA,"ДУІТ","State University of Infrastructure and Technologies","2016","41330257","Заклад вищої освіти","Університет","Державна","Міністерство освіти і науки України","04071","8038500000","КИЇВ","Київ","вул. Кирилівська, 9","04071","8038500000","КИЇВ","Київ","вул. Кирилівська, 9","+044(46)-374-70","duit@duit.edu.ua","duit.edu.ua","В.о. ректора","Панін Владислав Вадимович"
"50","Державний університет телекомунікацій","82",NA,"ДУТ","State University of Telecommunications","2002","38855349","Заклад вищої освіти","Університет","Державна","Міністерство освіти і науки України","03680","8038900000","КИЇВ","Київ","вул. Солом'янська, 7","03680","8038900000","КИЇВ","Київ","вул. Солом'янська, 7","(044) 2488593, 2488597","info@vnz-mpu.com.ua","www.dut.edu.ua","Ректор","Толубко Володимир Борисович"
"51","Дочірнє підприємство ""Київський хореографічний коледж""","1257",NA,"КХК","Subsidiary company ""Kyiv Choreographic College""","2000","32343784","Заклад вищої освіти","Коледж","Приватна","","03058","8000000000","КИЇВ","Київ","пров. Ніжинський, 4","03058","8000000000","КИЇВ","Київ","пров. Ніжинський, 4","(044) 4011041","college_horeograf@ukr.net","http://kievbalet.in.ua/","Директор","Кайгородов Дмитро Євгенович"
"52","Економіко-правовий коледж Київського кооперативного інституту бізнесу і права","1180","354","-","College of Economics and Law Kyiv Cooperative Institute of Business and Law","2011","37716752","Заклад вищої освіти","Коледж","Приватна","","03022","8036100000","КИЇВ","Київ","вул. Ломоносова, 18","03022","8036100000","КИЇВ","Київ","вул. Ломоносова, 18","(044) 257-70-91","kkepk2009@gmail.com","","В.о. ректора","Камінська Тетяна Григорівна"
"53","Економіко-технологічний коледж Приватного вищого навчального закладу ""Київський інститут бізнесу та технологій"" товариство з обмеженою відповідальністю","1446","289","Економіко-технологічний коледж КІБіТ","College for Economics and Technology of Kiev Institute of Business and Technology LLC","2010","37451372","Заклад вищої освіти","Коледж","Приватна","","04078","8038500000","КИЇВ","Київ","вул. Білицька, 41/43","01103","8038200000","КИЇВ","Київ","вул. Михайла Бойчука, 18-А","(044) 430-15-77; (044) 353-42-42","info@kibit.edu.ua","www.kibit.ua","директор","Іванова Інна Михайлівна"
"54","Економічний коледж Державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""","501","337","ЕК ДВНЗ «КНЕУ імені Вадима Гетьмана»","Economic College of State Higher Educational Establishment ""Kyiv National Economic University named after Vadym Hetman""","1962","04618613","Заклад вищої освіти","Коледж","Державна","Міністерство освіти і науки України","03148","8038600000","КИЇВ","Київ","вул. Василя Верховинця, 3","03148","8038600000","КИЇВ","Київ","вул. Василя Верховинця, 3","403-04-47","ek_kneu@ukr.net","http://ekkneu.info/","Директор","Марушевська Валентина Іларіонівна"
"55","Інститут агроекології і природокористування Національної академії аграрних наук України","3611",NA,"ІАП НААН","","1992","13722479","Наукові інститути (установи)","Інша наукова установа (організація)","Державна","Національна академія аграрних наук України","03143","8036100000","КИЇВ","Київ","вул. Метрологічна, 12","03143","8036100000","КИЇВ","Київ","вул. Метрологічна, 12","(044) 5262338; 5269221","agroecologynaan@gmail.com","","Директор","Фурдичко Орест Іванович"
